State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
OH,1985,111.0,500.0,243700.0,6.0,{'Tornado': 6}
OK,1985,7.0,0.0,12100.0,,
PA,1985,104.0,500.0,231600.0,23.0,"{'Tornado': 11, 'Hurricane': 6, 'Flood': 6}"
SD,1985,4.0,0.0,1100000.0,2.0,{'Fire': 2}
TX,1985,1.0,0.0,0.0,,
VA,1985,49.0,0.0,340000.0,52.0,{'Flood': 52}
WA,1985,49.0,0.0,340000.0,1.0,{'Fire': 1}
AL,1986,48.0,0.0,1750000.0,,
AR,1986,1.0,80.0,30000.0,,
AZ,1986,25.0,0.0,0.0,,
CA,1986,92.0,0.0,0.0,39.0,{'Flood': 39}
CO,1986,13.0,0.0,0.0,,
GA,1986,50.0,0.0,1750000.0,,
IL,1986,0.0,0.0,0.0,8.0,{'Flood': 8}
KS,1986,0.0,0.0,0.0,10.0,{'Flood': 10}
MD,1986,48.0,0.0,1750000.0,1.0,{'Flood': 1}
MI,1986,0.0,0.0,0.0,30.0,{'Flood': 30}
MO,1986,0.0,0.0,0.0,30.0,{'Flood': 30}
MT,1986,1.0,80.0,30000.0,23.0,{'Flood': 23}
NV,1986,13.0,0.0,0.0,6.0,{'Flood': 6}
OK,1986,1.0,80.0,30000.0,41.0,{'Flood': 41}
OR,1986,13.0,0.0,0.0,,
TX,1986,1.0,80.0,70000.0,2.0,{'Tornado': 2}
VA,1986,48.0,0.0,1750000.0,,
WY,1986,13.0,0.0,0.0,,
AK,1987,16.0,0.0,0.0,,
AR,1987,61.0,0.0,115000.0,12.0,"{'Tornado': 1, 'Flood': 11}"
CA,1987,52.0,94.0,217000.0,3.0,"{'Fire': 1, 'Earthquake': 2}"
CO,1987,0.0,0.0,0.0,,
GA,1987,136.0,0.0,546000.0,,
IL,1987,61.0,0.0,115000.0,3.0,{'Flood': 3}
IN,1987,96.0,0.0,115000.0,,
KY,1987,61.0,0.0,115000.0,,
MA,1987,19.0,0.0,16000.0,8.0,{'Flood': 8}
MD,1987,16.0,0.0,0.0,,
MS,1987,7.0,0.0,0.0,1.0,{'Severe Storm': 1}
NJ,1987,35.0,0.0,0.0,,
NY,1987,35.0,0.0,0.0,14.0,"{'Flood': 5, 'Snowstorm': 9}"
OH,1987,61.0,6.0,115000.0,4.0,{'Flood': 4}
OK,1987,42.0,0.0,0.0,16.0,{'Flood': 16}
OR,1987,19.0,0.0,16000.0,5.0,{'Fire': 5}
TN,1987,61.0,0.0,115000.0,,
TX,1987,137.0,0.0,130000.0,12.0,{'Tornado': 12}
VT,1987,35.0,0.0,0.0,,
WI,1987,0.0,0.0,58000.0,,
AL,1988,0.0,0.0,0.0,,
AR,1988,0.0,0.0,0.0,24.0,{'Tornado': 24}
CA,1988,0.0,0.0,0.0,10.0,"{'Flood': 5, 'Fire': 5}"
IA,1988,0.0,0.0,0.0,1.0,{'Tornado': 1}
IL,1988,0.0,0.0,0.0,,
IN,1988,0.0,0.0,0.0,,
KS,1988,0.0,0.0,0.0,,
MD,1988,0.0,0.0,0.0,,
MI,1988,0.0,0.0,0.0,,
MO,1988,0.0,0.0,0.0,,
MS,1988,0.0,0.0,0.0,,
NC,1988,0.0,0.0,0.0,9.0,{'Tornado': 9}
NE,1988,0.0,0.0,0.0,,
OK,1988,0.0,0.0,0.0,,
TN,1988,0.0,0.0,0.0,,
TX,1988,13.0,0.0,0.0,4.0,"{'Fire': 1, 'Hurricane': 3}"
UT,1988,0.0,0.0,0.0,,
AK,1989,0.0,0.0,0.0,15.0,"{'Freezing': 12, 'Flood': 3}"
AL,1989,27.0,0.0,0.0,2.0,{'Tornado': 2}
AR,1989,0.0,0.0,0.0,,
AZ,1989,25.0,0.0,0.0,,
CA,1989,72.0,3757.0,5600000.0,12.0,{'Earthquake': 12}
CT,1989,0.0,0.0,0.0,2.0,{'Tornado': 2}
GA,1989,98.0,0.0,423000.0,,
HI,1989,36.0,0.0,0.0,,
IA,1989,111.0,185.0,0.0,,
LA,1989,23.0,100.0,380000.0,61.0,"{'Flood': 52, 'Tornado': 9}"
MD,1989,0.0,0.0,0.0,1.0,{'Severe Storm': 1}
MN,1989,10.0,0.0,0.0,8.0,{'Flood': 8}
NC,1989,23.0,100.0,380000.0,42.0,"{'Tornado': 13, 'Hurricane': 29}"
NJ,1989,0.0,0.0,0.0,,
NY,1989,0.0,0.0,0.0,,
OK,1989,23.0,100.0,380000.0,,
SC,1989,23.0,100.0,380000.0,24.0,{'Hurricane': 24}
TN,1989,16.0,0.0,0.0,,
TX,1989,99.0,100.0,1980000.0,105.0,"{'Flood': 18, 'Severe Storm': 87}"
VA,1989,33.0,100.0,380000.0,1.0,{'Flood': 1}
AL,1990,15.0,0.0,100000.0,60.0,{'Severe Storm': 60}
AR,1990,13.0,0.0,500000.0,37.0,{'Flood': 37}
AZ,1990,11.0,0.0,0.0,9.0,"{'Fire': 1, 'Flood': 8}"
CA,1990,0.0,30.0,12700.0,4.0,{'Fire': 4}
CO,1990,14.0,0.0,45000.0,1.0,{'Fire': 1}
CT,1990,0.0,0.0,0.0,,
FL,1990,3.0,0.0,0.0,43.0,"{'Freezing': 32, 'Flood': 11}"
GA,1990,22.0,0.0,0.0,47.0,"{'Severe Storm': 38, 'Flood': 9}"
IA,1990,15.0,0.0,100000.0,56.0,{'Flood': 56}
ID,1990,3.0,0.0,45000.0,,
IL,1990,70.0,0.0,175000.0,29.0,"{'Severe Ice Storm': 10, 'Severe Storm': 16, 'Tornado': 3}"
IN,1990,55.0,0.0,75000.0,31.0,"{'Severe Storm': 30, 'Flood': 1}"
KS,1990,46.0,0.0,100000.0,,
