State Name,State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Risk Level
New Mexico,NM,2019,0.0,0.0,0.0,2.0,
Nevada,NV,2019,0.0,0.0,0.0,6.0,
New York,NY,2019,0.0,0.0,0.0,19.0,
Oregon,OR,2019,0.0,0.0,0.0,15.0,
Puerto Rico,PR,2019,0.0,0.0,0.0,79.0,
Utah,UT,2019,0.0,0.0,0.0,2.0,
Virgin Islands,VI,2019,0.0,0.0,0.0,3.0,
Vermont,VT,2019,0.0,0.0,0.0,7.0,
0,Virgin Islands of the U.S.,2019,0.0,0.0,0.0,1.0,
Arizona,AZ,2020,0.0,0.0,0.0,16.0,
California,CA,2020,0.0,0.0,0.0,86.0,
Hawaii,HI,2020,0.0,0.0,0.0,7.0,
Montana,MT,2020,0.0,0.0,0.0,14.0,
North Dakota,ND,2020,0.0,0.0,0.0,47.0,
Nevada,NV,2020,0.0,0.0,0.0,12.0,
Puerto Rico,PR,2020,0.0,0.0,0.0,279.0,
Utah,UT,2020,0.0,0.0,0.0,11.0,
Virgin Islands,VI,2020,0.0,0.0,0.0,3.0,
Vermont,VT,2020,0.0,0.0,0.0,9.0,
0,Virgin Islands of the U.S.,2020,0.0,0.0,0.0,1.0,
Wyoming,WY,2020,0.0,0.0,0.0,5.0,
Alaska,AK,2021,0.0,0.0,0.0,6.0,
District of Columbia,DC,2021,0.0,0.0,0.0,2.0,
New Hampshire,NH,2021,0.0,0.0,0.0,5.0,
Rhode Island,RI,2021,0.0,0.0,0.0,7.0,
Alaska,AK,2022,0.0,0.0,0.0,23.0,
American Samoa,AS,2022,0.0,0.0,0.0,2.0,
Hawaii,HI,2022,0.0,0.0,0.0,3.0,
Massachusetts,MA,2022,0.0,0.0,0.0,6.0,
Maine,ME,2022,0.0,0.0,0.0,4.0,
Puerto Rico,PR,2022,0.0,0.0,0.0,164.0,
Rhode Island,RI,2022,0.0,0.0,0.0,7.0,
Virgin Islands,VI,2022,0.0,0.0,0.0,1.0,
0,Virgin Islands of the U.S.,2022,0.0,0.0,0.0,1.0,
Alaska,AK,2023,0.0,0.0,0.0,2.0,
Guam,GU,2023,0.0,0.0,0.0,3.0,
Hawaii,HI,2023,0.0,0.0,0.0,6.0,
Massachusetts,MA,2023,0.0,0.0,0.0,1.0,
Maine,ME,2023,0.0,0.0,0.0,11.0,
Minnesota,MN,2023,0.0,0.0,0.0,1.0,
Northern Mariana Islands,MP,2023,0.0,0.0,0.0,3.0,
Montana,MT,2023,0.0,0.0,0.0,3.0,
North Dakota,ND,2023,0.0,0.0,0.0,9.0,
New Hampshire,NH,2023,0.0,0.0,0.0,6.0,
Oregon,OR,2023,0.0,0.0,0.0,5.0,
Rhode Island,RI,2023,0.0,0.0,0.0,1.0,
South Carolina,SC,2023,0.0,0.0,0.0,1.0,
South Dakota,SD,2023,0.0,0.0,0.0,23.0,
Vermont,VT,2023,0.0,0.0,0.0,12.0,
New York,NY,2024,96.0,50.0,2882742.0,19.0,3.0
Texas,TX,2024,140.0,120.0,9765709.0,51.0,3.0
Delaware,DE,2024,46.0,262.0,2542493.0,0.0,2.0
Georgia,GA,2024,82.0,80.0,4591511.0,27.0,3.0
Oregon,OR,2024,25.0,2.0,1530954.0,12.0,2.0
Colorado,CO,2024,41.0,9.0,3639014.0,2.0,2.0
Alabama,AL,2024,93.0,152.0,3742729.0,24.0,3.0
California,CA,2024,58.0,0.0,5482422.0,74.0,2.0
Florida,FL,2024,468.0,124.0,42013286.0,81.0,3.0
Mississippi,MS,2024,103.0,88.0,4583559.0,20.0,3.0
Ohio,OH,2024,80.0,92.0,4617743.0,9.0,3.0
Louisiana,LA,2024,79.0,36.0,5388677.0,18.0,3.0
Pennsylvania,PA,2024,51.0,47.0,3568660.0,16.0,2.0
Indiana,IN,2024,60.0,112.0,3629788.0,23.0,2.0
Minnesota,MN,2024,45.0,3.0,1180960.0,31.0,2.0
Oklahoma,OK,2024,54.0,87.0,6281580.0,25.0,2.0
Tennessee,TN,2024,96.0,124.0,4396354.0,27.0,3.0
Wisconsin,WI,2024,63.0,70.0,2865605.0,17.0,2.0
Virginia,VA,2024,123.0,149.0,12320691.0,48.0,3.0
Illinois,IL,2024,59.0,88.0,2936929.0,20.0,2.0
Montana,MT,2024,4.0,61.0,322077.0,12.0,1.0
New Jersey,NJ,2024,29.0,19.0,39130.0,10.0,2.0
South Carolina,SC,2024,32.0,76.0,3396396.0,13.0,2.0
Wyoming,WY,2024,7.0,22.0,322135.0,3.0,1.0
Arkansas,AR,2024,53.0,106.0,5630438.0,15.0,2.0
Kentucky,KY,2024,78.0,38.0,4271106.0,52.0,3.0
Guam,GU,2024,-0.0,0.0,30.0,2.0,1.0
Washington,WA,2024,73.0,10.0,7297336.0,25.0,2.0
Utah,UT,2024,4.0,5.0,840650.0,7.0,1.0
Nevada,NV,2024,47.0,16.0,6045539.0,3.0,2.0
West Virginia,WV,2024,44.0,14.0,2433731.0,26.0,2.0
North Carolina,NC,2024,136.0,244.0,30783278.0,31.0,3.0
Connecticut,CT,2024,44.0,24.0,0.0,2.0,2.0
Nebraska,NE,2024,42.0,48.0,4449508.0,29.0,2.0
Alaska,AK,2024,0.0,0.0,282303.0,9.0,1.0
Maine,ME,2024,19.0,43.0,1954204.0,9.0,2.0
Kansas,KS,2024,44.0,121.0,5346644.0,38.0,2.0
Missouri,MO,2024,113.0,125.0,3720614.0,36.0,3.0
Massachusetts,MA,2024,24.0,8.0,823246.0,8.0,2.0
Rhode Island,RI,2024,26.0,0.0,6210472.0,5.0,2.0
Hawaii,HI,2024,1.0,0.0,0.0,3.0,1.0
Michigan,MI,2024,20.0,43.0,3210257.0,9.0,2.0
South Dakota,SD,2024,10.0,2.0,1170674.0,26.0,1.0
Idaho,ID,2024,80.0,0.0,1646553.0,3.0,3.0
Arizona,AZ,2024,26.0,3.0,3572241.0,1.0,2.0
Iowa,IA,2024,37.0,71.0,3340639.0,29.0,2.0
Maryland,MD,2024,59.0,174.0,4301609.0,0.0,2.0
Vermont,VT,2024,18.0,0.0,2429997.0,8.0,2.0
New Mexico,NM,2024,0.0,0.0,257761.0,4.0,1.0
North Dakota,ND,2024,7.0,12.0,1010359.0,32.0,1.0
New Hampshire,NH,2024,14.0,0.0,780982.0,7.0,1.0
District of Columbia,DC,2024,19.0,1.0,1486900.0,1.0,2.0
Northern Mariana Islands,MP,2024,0.0,0.0,0.0,7.0,1.0
American Samoa,AS,2024,0.0,0.0,0.0,3.0,1.0
Puerto Rico,PR,2024,0.0,0.0,0.0,177.0,1.0
Unknown,FM,2024,0.0,0.0,0.0,3.0,1.0
Virgin Islands,VI,2024,0.0,0.0,0.0,3.0,1.0
Unknown,MH,2024,0.0,0.0,0.0,12.0,1.0
Unknown,PW,2024,0.0,0.0,0.0,1.0,1.0
Unknown,Virgin Islands of the U.S.,2024,0.0,0.0,0.0,2.0,1.0
